iter	Passed	Remaining
910	10325	6676
911	10336	6664
912	10348	6653
913	10358	6641
914	10367	6628
915	10378	6617
916	10390	6605
917	10401	6594
918	10410	6581
919	10422	6570
920	10431	6558
921	10441	6545
922	10452	6534
923	10463	6522
924	10474	6511
925	10484	6499
926	10495	6487
927	10508	6477
928	10519	6465
929	10530	6453
930	10542	6443
931	10552	6431
932	10563	6419
933	10575	6408
934	10587	6398
935	10596	6385
936	10606	6373
937	10617	6361
938	10627	6349
939	10637	6337
940	10647	6325
941	10658	6313
942	10669	6302
943	10679	6289
944	10689	6277
945	10700	6266
946	10710	6254
947	10720	6242
948	10730	6230
949	10739	6217
950	10749	6205
951	10759	6193
952	10771	6182
953	10781	6170
954	10793	6159
955	10803	6147
956	10815	6136
957	10827	6125
958	10838	6114
959	10848	6102
960	10858	6089
961	10868	6078
962	10879	6066
963	10889	6054
964	10901	6044
965	10911	6031
966	10922	6020
967	10932	6008
968	10942	5996
969	10953	5984
970	10964	5973
971	10975	5961
972	10985	5949
973	10995	5938
974	11005	5926
975	11015	5914
976	11026	5902
977	11037	5891
978	11048	5879
979	11059	5868
980	11070	5856
981	11081	5845
982	11092	5834
983	11102	5822
984	11111	5809
985	11123	5798
986	11135	5787
987	11146	5776
988	11156	5764
989	11166	5752
990	11177	5741
991	11186	5728
992	11197	5717
993	11206	5704
994	11218	5693
995	11228	5681
996	11239	5670
997	11249	5658
998	11261	5647
999	11271	5635
1000	11281	5623
1001	11293	5612
1002	11303	5601
1003	11313	5589
1004	11324	5577
1005	11335	5566
1006	11345	5554
1007	11355	5542
1008	11365	5530
1009	11376	5519
1010	11386	5507
1011	11397	5496
1012	11407	5483
1013	11415	5471
1014	11428	5460
1015	11439	5449
1016	11450	5437
1017	11462	5427
1018	11473	5415
1019	11484	5404
1020	11494	5392
1021	11505	5381
1022	11517	5370
1023	11527	5358
1024	11539	5347
1025	11548	5335
1026	11558	5323
1027	11569	5312
1028	11579	5300
1029	11591	5289
1030	11601	5277
1031	11612	5265
1032	11623	5254
1033	11634	5243
1034	11645	5231
1035	11656	5220
1036	11666	5208
1037	11677	5197
1038	11687	5185
1039	11698	5174
1040	11707	5162
1041	11719	5151
1042	11730	5140
1043	11741	5128
1044	11751	5116
1045	11763	5105
1046	11774	5094
1047	11785	5082
1048	11797	5072
1049	11806	5060
1050	11818	5048
1051	11829	5037
1052	11840	5026
1053	11851	5014
1054	11862	5003
1055	11872	4992
1056	11882	4979
1057	11893	4968
1058	11904	4957
1059	11914	4945
1060	11926	4934
1061	11939	4924
1062	11950	4912
1063	11959	4900
1064	11971	4889
1065	11984	4879
1066	11995	4867
1067	12005	4856
1068	12017	4845
1069	12028	4833
1070	12038	4822
1071	12047	4810
1072	12059	4798
1073	12069	4787
1074	12079	4775
1075	12090	4764
1076	12102	4753
1077	12111	4741
1078	12123	4730
1079	12134	4718
1080	12145	4707
1081	12156	4696
1082	12166	4684
1083	12176	4672
1084	12186	4661
1085	12198	4650
1086	12208	4638
1087	12217	4626
1088	12227	4614
1089	12238	4603
1090	12249	4592
1091	12261	4581
1092	12272	4569
1093	12283	4558
1094	12293	4546
1095	12303	4535
1096	12316	4524
1097	12328	4513
1098	12338	4501
1099	12348	4490
1100	12360	4479
1101	12371	4468
1102	12380	4456
1103	12390	4444
1104	12400	4432
1105	12410	4421
1106	12420	4409
1107	12430	4397
1108	12441	4386
1109	12451	4374
1110	12461	4363
1111	12472	4351
1112	12482	4340
1113	12492	4328
1114	12503	4317
1115	12512	4305
1116	12523	4294
1117	12533	4282
1118	12543	4271
1119	12553	4259
1120	12565	4248
1121	12574	4236
1122	12583	4224
1123	12594	4213
1124	12606	4202
1125	12616	4190
1126	12625	4178
1127	12636	4167
1128	12647	4155
1129	12657	4144
1130	12670	4133
1131	12681	4122
1132	12692	4111
1133	12706	4100
1134	12717	4089
1135	12729	4078
1136	12739	4067
1137	12750	4056
1138	12760	4044
1139	12772	4033
1140	12781	4021
1141	12792	4010
1142	12803	3998
1143	12814	3987
1144	12824	3976
1145	12834	3964
1146	12845	3953
1147	12857	3942
1148	12868	3931
1149	12878	3919
1150	12888	3907
1151	12898	3896
1152	12909	3885
1153	12920	3873
1154	12930	3862
1155	12939	3850
1156	12950	3839
1157	12962	3828
1158	12973	3816
1159	12982	3805
1160	12993	3793
1161	13004	3782
1162	13015	3771
1163	13025	3760
1164	13036	3748
1165	13048	3737
1166	13059	3726
1167	13070	3715
1168	13081	3703
1169	13092	3692
1170	13103	3681
1171	13115	3670
1172	13124	3658
1173	13134	3647
1174	13144	3635
1175	13156	3624
1176	13166	3613
1177	13176	3601
1178	13187	3590
1179	13197	3578
1180	13208	3567
1181	13219	3556
1182	13230	3545
1183	13240	3533
1184	13251	3522
1185	13262	3511
1186	13272	3499
1187	13282	3488
1188	13291	3476
1189	13302	3465
1190	13313	3454
1191	13323	3442
1192	13334	3431
1193	13345	3420
1194	13354	3408
1195	13364	3397
1196	13375	3385
1197	13386	3374
1198	13395	3362
1199	13406	3351
1200	13417	3340
1201	13427	3328
1202	13438	3317
1203	13449	3306
1204	13459	3295
1205	13472	3284
1206	13484	3273
1207	13496	3262
1208	13506	3251
1209	13518	3239
1210	13528	3228
1211	13537	3216
1212	13548	3205
1213	13558	3194
1214	13568	3182
1215	13581	3171
1216	13591	3160
1217	13604	3149
1218	13616	3138
1219	13626	3127
1220	13638	3116
1221	13648	3105
1222	13659	3093
1223	13670	3082
1224	13680	3071
1225	13691	3059
1226	13702	3048
1227	13712	3037
1228	13722	3025
1229	13733	3014
1230	13744	3003
1231	13754	2991
1232	13764	2980
1233	13774	2969
1234	13785	2957
1235	13795	2946
1236	13807	2935
1237	13818	2924
1238	13828	2913
1239	13839	2901
1240	13850	2890
1241	13859	2879
1242	13870	2867
1243	13882	2856
1244	13891	2845
1245	13902	2834
1246	13912	2822
1247	13922	2811
1248	13932	2799
1249	13944	2788
1250	13956	2777
1251	13969	2767
1252	13981	2756
1253	13992	2745
1254	14004	2733
1255	14015	2722
1256	14025	2711
1257	14037	2700
1258	14047	2689
1259	14057	2677
1260	14067	2666
1261	14076	2654
1262	14086	2643
1263	14096	2631
1264	14107	2620
1265	14118	2609
1266	14130	2598
1267	14141	2587
1268	14151	2575
1269	14161	2564
1270	14171	2553
1271	14181	2541
1272	14190	2530
1273	14202	2519
1274	14213	2508
1275	14224	2497
1276	14234	2485
1277	14244	2474
1278	14255	2463
1279	14265	2451
1280	14277	2440
1281	14288	2429
1282	14299	2418
1283	14309	2407
1284	14319	2395
1285	14328	2384
1286	14339	2373
1287	14349	2361
1288	14359	2350
1289	14370	2339
1290	14380	2328
1291	14390	2316
1292	14401	2305
1293	14411	2294
1294	14422	2283
1295	14432	2271
1296	14444	2260
1297	14455	2249
1298	14465	2238
1299	14477	2227
1300	14489	2216
1301	14498	2204
1302	14508	2193
1303	14517	2182
1304	14526	2170
1305	14536	2159
1306	14547	2148
1307	14558	2136
1308	14568	2125
1309	14579	2114
1310	14591	2103
1311	14601	2092
1312	14611	2081
1313	14622	2069
1314	14631	2058
1315	14642	2047
1316	14652	2035
1317	14662	2024
1318	14673	2013
1319	14682	2002
1320	14693	1990
1321	14704	1979
1322	14715	1968
1323	14725	1957
1324	14735	1946
1325	14746	1935
1326	14756	1923
1327	14769	1912
1328	14779	1901
1329	14788	1890
1330	14800	1879
1331	14809	1867
1332	14820	1856
1333	14829	1845
1334	14839	1834
1335	14851	1823
1336	14861	1811
1337	14871	1800
1338	14881	1789
1339	14891	1778
1340	14902	1766
1341	14913	1755
1342	14923	1744
1343	14932	1733
1344	14944	1722
1345	14954	1710
1346	14965	1699
1347	14976	1688
